eventID,Identification ovitraps_Subsite Code,identifiedBy,locationID,Trap Code,eventDate,verbatimEventDate,municipality,Longitude,Latitude,Land cover level 1,Sampling ovitraps_Sampling Code
ITG:MOSQ:VECT:M2O036Aug,M2001,Isra Deblauwe,M2001,O036,2012-08-01,2012-08-01 /2012-08-23,As,"5,621690","51,007416",Forest and semi-natural areas,M2O036Aug
ITG:MOSQ:VECT:N1B001Aug,N1007,Isra Deblauwe,N1007,B001,2012-07-27,2012-07-27 /2012-08-24,Hamois,"5,044779","50,338908",Forest and semi-natural areas,N1B001Aug
ITG:MOSQ:VECT:N1B001Jul,N1007,Isra Deblauwe,N1007,B001,2012-06-26,2012-06-26 /2012-07-27,Hamois,"5,044779","50,338908",Forest and semi-natural areas,N1B001Jul
ITG:MOSQ:VECT:N1B003Aug,N1014,Isra Deblauwe,N1014,B003,2012-07-27,2012-07-27 /2012-08-24,Ciney,"5,028772","50,328419",Forest and semi-natural areas,N1B003Aug
ITG:MOSQ:VECT:N1O007Jul,N1026,Isra Deblauwe,N1026,O007,2012-06-26,2012-06-26 /2012-08-03,Hamois,"5,045534","50,330284",Forest and semi-natural areas,N1O007Jul
ITG:MOSQ:VECT:N1O021Aug,N1033,Isra Deblauwe,N1033,O021,2012-08-03,2012-08-03 /2012-08-31,Ciney,"5,034598","50,331361",Forest and semi-natural areas,N1O021Aug
ITG:MOSQ:VECT:N1O021Jul,N1033,Isra Deblauwe,N1033,O021,2012-06-26,2012-06-26 /2012-08-03,Ciney,"5,034598","50,331361",Forest and semi-natural areas,N1O021Jul
ITG:MOSQ:VECT:N1O022Jul,N1033,Isra Deblauwe,N1033,O022,2012-06-26,2012-06-26 /2012-08-03,Ciney,"5,034598","50,331361",Forest and semi-natural areas,N1O022Jul
ITG:MOSQ:VECT:N1P1-1Jul,N1010,Isra Deblauwe,N1010,P1-1,2012-06-26,2012-06-26 /2012-07-27,Hamois,"5,045144","50,338576",Forest and semi-natural areas,N1P1-1Jul
ITG:MOSQ:VECT:N1P1-1Jun,N1010,Isra Deblauwe,N1010,P1-1,2012-06-05,2012-06-05 /2012-06-26,Hamois,"5,045144","50,338576",Forest and semi-natural areas,N1P1-1Jun
ITG:MOSQ:VECT:N1P1-3My2,N1012,Isra Deblauwe,N1012,P1-3,2012-05-18,2012-05-18 /2012-06-05,Ciney,"5,028520","50,330813",Forest and semi-natural areas,N1P1-3My2
ITG:MOSQ:VECT:N1P1-4Aug,N1010,Isra Deblauwe,N1010,P1-4,2012-07-27,2012-07-27 /2012-08-24,Hamois,"5,045144","50,338576",Forest and semi-natural areas,N1P1-4Aug
ITG:MOSQ:VECT:N1P1-4Jun,N1010,Isra Deblauwe,N1010,P1-4,2012-06-05,2012-06-05 /2012-06-26,Hamois,"5,045144","50,338576",Forest and semi-natural areas,N1P1-4Jun
ITG:MOSQ:VECT:N1P1-5Jul,N1009,Isra Deblauwe,N1009,P1-5,2012-06-26,2012-06-26 /2012-08-03,Hamois,"5,044248","50,335326",Forest and semi-natural areas,N1P1-5Jul
ITG:MOSQ:VECT:N1P2-1Jul,N108b,Isra Deblauwe,N108b,P2-1,2012-06-26,2012-06-26 /2012-08-03,Hamois,"5,043293","50,337456",Forest and semi-natural areas,N1P2-1Jul
ITG:MOSQ:VECT:N1P2-5Aug,N108a,Isra Deblauwe,N108a,P2-5,2012-07-27,2012-07-27 /2012-08-24,Hamois,"5,044350","50,338740",Forest and semi-natural areas,N1P2-5Aug
ITG:MOSQ:VECT:N1P2-5Jun,N108a,Isra Deblauwe,N108a,P2-5,2012-06-05,2012-06-05 /2012-06-26,Hamois,"5,044350","50,338740",Forest and semi-natural areas,N1P2-5Jun
ITG:MOSQ:VECT:N1PP11Jun,N1003,Isra Deblauwe,N1003,PP11,2012-06-05,2012-06-05 /2012-06-26,Ciney,"5,035870","50,335481",Forest and semi-natural areas,N1PP11Jun
ITG:MOSQ:VECT:N1PP13Jun,N1011,Isra Deblauwe,N1011,PP13,2012-06-05,2012-06-05 /2012-06-26,Hamois,"5,044919","50,338709",Forest and semi-natural areas,N1PP13Jun
