;City;Country;Latitude;Longitude;Year;Population
10025;Valencia;Venezuela (Bolivarian Republic of);10.17;-68.00;2050.0;2266000.0
10026;Al-Hudaydah;Yemen;14.79;42.94;2050.0;1854000.0
10027;Sana'a';Yemen;15.36;44.20;2050.0;4382000.0
10028;Ta'izz;Yemen;13.57;44.01;2050.0;1743000.0
10029;Lusaka;Zambia;-15.42;28.17;2050.0;2047000.0
10030;Sofia;Bulgaria;42.70;23.33;1950.0;520000.0
10031;Mandalay;Myanmar;21.97;96.08;1950.0;170000.0
10032;Nay Pyi Taw;Myanmar;19.75;96.10;1950.0;0.0
10033;Yangon;Myanmar;16.87;96.12;1950.0;1300000.0
10034;Minsk;Belarus;53.89;27.57;1950.0;280000.0
